Unnamed: 0,X,id,date,time,name,size,type,price,day_of_week
159,159,2015-000068,2015-01-01,22:07:32,ital_supr,L,supreme,20.75,Thursday
160,160,2015-000068,2015-01-01,22:07:32,classic_dlx,M,classic,16.0,Thursday
161,161,2015-000068,2015-01-01,22:07:32,ital_supr,M,supreme,16.5,Thursday
162,162,2015-000069,2015-01-01,22:12:13,bbq_ckn,L,chicken,20.75,Thursday
163,163,2015-000070,2015-01-02,11:38:51,soppressata,L,supreme,20.75,Friday
164,164,2015-000070,2015-01-02,11:38:51,ital_veggie,S,veggie,12.75,Friday
165,165,2015-000071,2015-01-02,11:40:50,thai_ckn,L,chicken,20.75,Friday
166,166,2015-000072,2015-01-02,11:57:25,spinach_fet,L,veggie,20.25,Friday
167,167,2015-000073,2015-01-02,11:58:56,thai_ckn,S,chicken,12.75,Friday
168,168,2015-000074,2015-01-02,12:01:12,mexicana,L,veggie,20.25,Friday
169,169,2015-000074,2015-01-02,12:01:12,spin_pesto,S,veggie,12.5,Friday
170,170,2015-000074,2015-01-02,12:01:12,spinach_supr,L,supreme,20.75,Friday
171,171,2015-000074,2015-01-02,12:01:12,five_cheese,L,veggie,18.5,Friday
172,172,2015-000075,2015-01-02,12:10:15,napolitana,L,classic,20.5,Friday
173,173,2015-000075,2015-01-02,12:10:15,ital_supr,S,supreme,12.5,Friday
174,174,2015-000075,2015-01-02,12:10:15,mediterraneo,L,veggie,20.25,Friday
175,175,2015-000076,2015-01-02,12:21:17,hawaiian,L,classic,16.5,Friday
176,176,2015-000076,2015-01-02,12:21:17,ital_veggie,L,veggie,21.0,Friday
177,177,2015-000076,2015-01-02,12:21:17,spicy_ital,L,supreme,20.75,Friday
178,178,2015-000076,2015-01-02,12:21:17,big_meat,S,classic,12.0,Friday
179,179,2015-000077,2015-01-02,12:22:46,hawaiian,M,classic,13.25,Friday
180,180,2015-000077,2015-01-02,12:22:46,bbq_ckn,M,chicken,16.75,Friday
181,181,2015-000078,2015-01-02,12:28:14,classic_dlx,S,classic,12.0,Friday
182,182,2015-000078,2015-01-02,12:28:14,spicy_ital,L,supreme,20.75,Friday
183,183,2015-000078,2015-01-02,12:28:14,spicy_ital,L,supreme,20.75,Friday
184,184,2015-000078,2015-01-02,12:28:14,thai_ckn,S,chicken,12.75,Friday
185,185,2015-000078,2015-01-02,12:28:14,four_cheese,L,veggie,17.95,Friday
186,186,2015-000078,2015-01-02,12:28:14,ital_cpcllo,M,classic,16.0,Friday
187,187,2015-000078,2015-01-02,12:28:14,spicy_ital,L,supreme,20.75,Friday
188,188,2015-000078,2015-01-02,12:28:14,big_meat,S,classic,12.0,Friday
189,189,2015-000079,2015-01-02,12:29:11,ital_cpcllo,L,classic,20.5,Friday
190,190,2015-000079,2015-01-02,12:29:11,thai_ckn,L,chicken,20.75,Friday
191,191,2015-000079,2015-01-02,12:29:11,pep_msh_pep,S,classic,11.0,Friday
192,192,2015-000080,2015-01-02,12:35:38,pepperoni,S,classic,9.75,Friday
193,193,2015-000080,2015-01-02,12:35:38,thai_ckn,M,chicken,16.75,Friday
194,194,2015-000081,2015-01-02,12:40:01,thai_ckn,L,chicken,20.75,Friday
195,195,2015-000082,2015-01-02,12:45:51,spicy_ital,L,supreme,20.75,Friday
196,196,2015-000082,2015-01-02,12:45:51,big_meat,S,classic,12.0,Friday
197,197,2015-000082,2015-01-02,12:45:51,cali_ckn,M,chicken,16.75,Friday
198,198,2015-000082,2015-01-02,12:45:51,veggie_veg,M,veggie,16.0,Friday
199,199,2015-000083,2015-01-02,12:53:27,southw_ckn,S,chicken,12.75,Friday
200,200,2015-000084,2015-01-02,13:13:41,pepperoni,L,classic,15.25,Friday
201,201,2015-000085,2015-01-02,13:34:49,classic_dlx,S,classic,12.0,Friday
202,202,2015-000085,2015-01-02,13:34:49,classic_dlx,M,classic,16.0,Friday
203,203,2015-000085,2015-01-02,13:34:49,ital_supr,L,supreme,20.75,Friday
204,204,2015-000085,2015-01-02,13:34:49,the_greek,M,classic,16.0,Friday
205,205,2015-000086,2015-01-02,13:40:31,hawaiian,L,classic,16.5,Friday
206,206,2015-000087,2015-01-02,14:01:02,mexicana,M,veggie,16.0,Friday
207,207,2015-000087,2015-01-02,14:01:02,ital_cpcllo,M,classic,16.0,Friday
208,208,2015-000087,2015-01-02,14:01:02,spinach_supr,S,supreme,12.5,Friday
209,209,2015-000087,2015-01-02,14:01:02,spinach_supr,L,supreme,20.75,Friday
210,210,2015-000088,2015-01-02,14:10:08,five_cheese,L,veggie,18.5,Friday
211,211,2015-000089,2015-01-02,14:30:19,thai_ckn,L,chicken,20.75,Friday
212,212,2015-000089,2015-01-02,14:30:19,soppressata,L,supreme,20.75,Friday
213,213,2015-000090,2015-01-02,15:08:48,thai_ckn,S,chicken,12.75,Friday
214,214,2015-000090,2015-01-02,15:08:48,sicilian,L,supreme,20.25,Friday
215,215,2015-000091,2015-01-02,15:14:43,bbq_ckn,L,chicken,20.75,Friday
216,216,2015-000091,2015-01-02,15:14:43,pepperoni,S,classic,9.75,Friday
217,217,2015-000091,2015-01-02,15:14:43,bbq_ckn,L,chicken,20.75,Friday
218,218,2015-000091,2015-01-02,15:14:43,ckn_pesto,S,chicken,12.75,Friday
219,219,2015-000092,2015-01-02,15:17:02,spinach_fet,S,veggie,12.0,Friday
220,220,2015-000092,2015-01-02,15:17:02,ital_supr,M,supreme,16.5,Friday
221,221,2015-000092,2015-01-02,15:17:02,peppr_salami,M,supreme,16.5,Friday
222,222,2015-000092,2015-01-02,15:17:02,bbq_ckn,M,chicken,16.75,Friday
223,223,2015-000092,2015-01-02,15:17:02,spinach_supr,S,supreme,12.5,Friday
224,224,2015-000092,2015-01-02,15:17:02,the_greek,M,classic,16.0,Friday
225,225,2015-000092,2015-01-02,15:17:02,ital_supr,L,supreme,20.75,Friday
226,226,2015-000092,2015-01-02,15:17:02,pepperoni,M,classic,12.5,Friday
227,227,2015-000092,2015-01-02,15:17:02,ital_veggie,S,veggie,12.75,Friday
228,228,2015-000092,2015-01-02,15:17:02,the_greek,M,classic,16.0,Friday
229,229,2015-000093,2015-01-02,15:29:31,sicilian,M,supreme,16.25,Friday
230,230,2015-000094,2015-01-02,16:17:16,ital_cpcllo,M,classic,16.0,Friday
231,231,2015-000094,2015-01-02,16:17:16,southw_ckn,S,chicken,12.75,Friday
232,232,2015-000095,2015-01-02,16:18:04,peppr_salami,L,supreme,20.75,Friday
233,233,2015-000095,2015-01-02,16:18:04,napolitana,S,classic,12.0,Friday
234,234,2015-000096,2015-01-02,16:21:20,napolitana,S,classic,12.0,Friday
235,235,2015-000097,2015-01-02,16:45:33,big_meat,S,classic,12.0,Friday
236,236,2015-000098,2015-01-02,17:18:18,napolitana,L,classic,20.5,Friday
237,237,2015-000098,2015-01-02,17:18:18,classic_dlx,L,classic,20.5,Friday
238,238,2015-000099,2015-01-02,17:45:42,ital_supr,L,supreme,20.75,Friday
239,239,2015-000100,2015-01-02,17:46:17,hawaiian,L,classic,16.5,Friday
240,240,2015-000101,2015-01-02,17:51:33,soppressata,L,supreme,20.75,Friday
241,241,2015-000101,2015-01-02,17:51:33,cali_ckn,L,chicken,20.75,Friday
242,242,2015-000101,2015-01-02,17:51:33,pepperoni,L,classic,15.25,Friday
243,243,2015-000101,2015-01-02,17:51:33,spicy_ital,M,supreme,16.5,Friday
244,244,2015-000102,2015-01-02,17:54:04,prsc_argla,S,supreme,12.5,Friday
245,245,2015-000102,2015-01-02,17:54:04,bbq_ckn,S,chicken,12.75,Friday
246,246,2015-000103,2015-01-02,18:02:09,spinach_supr,S,supreme,12.5,Friday
247,247,2015-000104,2015-01-02,18:02:12,veggie_veg,L,veggie,20.25,Friday
248,248,2015-000104,2015-01-02,18:02:12,bbq_ckn,M,chicken,16.75,Friday
249,249,2015-000104,2015-01-02,18:02:12,ital_veggie,M,veggie,16.75,Friday
250,250,2015-000104,2015-01-02,18:02:12,ckn_alfredo,M,chicken,16.75,Friday
251,251,2015-000105,2015-01-02,18:12:01,hawaiian,S,classic,10.5,Friday
252,252,2015-000105,2015-01-02,18:12:01,hawaiian,S,classic,10.5,Friday
253,253,2015-000105,2015-01-02,18:12:01,prsc_argla,M,supreme,16.5,Friday
254,254,2015-000105,2015-01-02,18:12:01,pepperoni,L,classic,15.25,Friday
255,255,2015-000106,2015-01-02,18:12:13,spicy_ital,L,supreme,20.75,Friday
256,256,2015-000106,2015-01-02,18:12:13,mexicana,L,veggie,20.25,Friday
257,257,2015-000107,2015-01-02,18:25:09,ital_supr,M,supreme,16.5,Friday
258,258,2015-000107,2015-01-02,18:25:09,cali_ckn,L,chicken,20.75,Friday
259,259,2015-000107,2015-01-02,18:25:09,veggie_veg,L,veggie,20.25,Friday
260,260,2015-000107,2015-01-02,18:25:09,spicy_ital,L,supreme,20.75,Friday
261,261,2015-000108,2015-01-02,18:25:25,hawaiian,L,classic,16.5,Friday
262,262,2015-000108,2015-01-02,18:25:25,classic_dlx,L,classic,20.5,Friday
263,263,2015-000108,2015-01-02,18:25:25,spinach_supr,L,supreme,20.75,Friday
264,264,2015-000109,2015-01-02,18:27:50,prsc_argla,L,supreme,20.75,Friday
265,265,2015-000109,2015-01-02,18:27:50,pepperoni,M,classic,12.5,Friday
266,266,2015-000109,2015-01-02,18:27:50,ital_cpcllo,L,classic,20.5,Friday
267,267,2015-000109,2015-01-02,18:27:50,ital_supr,L,supreme,20.75,Friday
268,268,2015-000110,2015-01-02,18:36:19,soppressata,L,supreme,20.75,Friday
269,269,2015-000110,2015-01-02,18:36:19,napolitana,L,classic,20.5,Friday
270,270,2015-000110,2015-01-02,18:36:19,big_meat,S,classic,12.0,Friday
271,271,2015-000110,2015-01-02,18:36:19,spicy_ital,S,supreme,12.5,Friday
272,272,2015-000111,2015-01-02,18:38:01,cali_ckn,M,chicken,16.75,Friday
273,273,2015-000111,2015-01-02,18:38:01,spin_pesto,L,veggie,20.75,Friday
274,274,2015-000111,2015-01-02,18:38:01,pepperoni,M,classic,12.5,Friday
275,275,2015-000111,2015-01-02,18:38:01,five_cheese,L,veggie,18.5,Friday
276,276,2015-000112,2015-01-02,18:41:40,pepperoni,S,classic,9.75,Friday
277,277,2015-000113,2015-01-02,18:50:21,cali_ckn,L,chicken,20.75,Friday
278,278,2015-000113,2015-01-02,18:50:21,southw_ckn,M,chicken,16.75,Friday
279,279,2015-000113,2015-01-02,18:50:21,mexicana,L,veggie,20.25,Friday
280,280,2015-000114,2015-01-02,18:59:32,pepperoni,L,classic,15.25,Friday
281,281,2015-000114,2015-01-02,18:59:32,sicilian,S,supreme,12.25,Friday
282,282,2015-000115,2015-01-02,19:05:17,thai_ckn,M,chicken,16.75,Friday
283,283,2015-000115,2015-01-02,19:05:17,big_meat,S,classic,12.0,Friday
284,284,2015-000115,2015-01-02,19:05:17,napolitana,L,classic,20.5,Friday
285,285,2015-000116,2015-01-02,19:18:49,five_cheese,L,veggie,18.5,Friday
286,286,2015-000117,2015-01-02,19:23:02,peppr_salami,M,supreme,16.5,Friday
287,287,2015-000117,2015-01-02,19:23:02,sicilian,L,supreme,20.25,Friday
288,288,2015-000118,2015-01-02,19:26:59,prsc_argla,L,supreme,20.75,Friday
289,289,2015-000118,2015-01-02,19:26:59,spinach_fet,S,veggie,12.0,Friday
290,290,2015-000119,2015-01-02,19:32:29,four_cheese,M,veggie,14.75,Friday
291,291,2015-000120,2015-01-02,19:35:07,spinach_fet,L,veggie,20.25,Friday
292,292,2015-000120,2015-01-02,19:35:07,hawaiian,S,classic,10.5,Friday
293,293,2015-000120,2015-01-02,19:35:07,classic_dlx,S,classic,12.0,Friday
294,294,2015-000121,2015-01-02,19:38:48,sicilian,L,supreme,20.25,Friday
295,295,2015-000121,2015-01-02,19:38:48,bbq_ckn,M,chicken,16.75,Friday
296,296,2015-000121,2015-01-02,19:38:48,southw_ckn,L,chicken,20.75,Friday
297,297,2015-000121,2015-01-02,19:38:48,four_cheese,L,veggie,17.95,Friday
298,298,2015-000122,2015-01-02,19:50:19,ital_supr,M,supreme,16.5,Friday
299,299,2015-000123,2015-01-02,20:12:09,ital_cpcllo,S,classic,12.0,Friday
300,300,2015-000124,2015-01-02,20:12:34,bbq_ckn,S,chicken,12.75,Friday
301,301,2015-000124,2015-01-02,20:12:34,the_greek,S,classic,12.0,Friday
302,302,2015-000124,2015-01-02,20:12:34,sicilian,L,supreme,20.25,Friday
303,303,2015-000124,2015-01-02,20:12:34,spicy_ital,L,supreme,20.75,Friday
304,304,2015-000125,2015-01-02,20:31:06,the_greek,XL,classic,25.5,Friday
305,305,2015-000126,2015-01-02,20:53:42,veggie_veg,L,veggie,20.25,Friday
306,306,2015-000127,2015-01-02,20:58:23,pepperoni,M,classic,12.5,Friday
307,307,2015-000128,2015-01-02,21:05:06,spicy_ital,S,supreme,12.5,Friday
308,308,2015-000129,2015-01-02,21:13:02,big_meat,S,classic,12.0,Friday
309,309,2015-000129,2015-01-02,21:13:02,the_greek,M,classic,16.0,Friday
310,310,2015-000130,2015-01-02,21:14:55,mexicana,M,veggie,16.0,Friday
311,311,2015-000130,2015-01-02,21:14:55,southw_ckn,S,chicken,12.75,Friday
312,312,2015-000130,2015-01-02,21:14:55,ital_cpcllo,L,classic,20.5,Friday
313,313,2015-000130,2015-01-02,21:14:55,hawaiian,S,classic,10.5,Friday
314,314,2015-000131,2015-01-02,21:33:10,spinach_supr,S,supreme,12.5,Friday
315,315,2015-000131,2015-01-02,21:33:10,five_cheese,L,veggie,18.5,Friday
316,316,2015-000131,2015-01-02,21:33:10,green_garden,S,veggie,12.0,Friday
317,317,2015-000131,2015-01-02,21:33:10,ckn_pesto,L,chicken,20.75,Friday
318,318,2015-000132,2015-01-02,21:42:45,pepperoni,S,classic,9.75,Friday
